date,region,product,sales,profit
2025-10-21,대구,A,115,169
2025-10-07,대구,C,228,84
2025-11-21,서울,B,674,17
2025-04-08,광주,A,208,54
2025-07-17,부산,C,986,68
2025-08-28,대구,D,632,141
2025-05-24,대구,A,769,113
2025-04-07,광주,A,368,166
2025-07-20,광주,D,261,166
2025-05-04,인천,B,359,107
2025-07-06,인천,D,201,165
2025-11-22,부산,A,605,88
2025-12-15,부산,D,834,133
2025-09-16,서울,C,670,181
2025-05-28,인천,D,346,13
2025-09-09,대구,A,739,99
2025-12-12,인천,D,894,113
2025-05-27,대구,B,936,146
2025-05-28,광주,D,636,128
2025-12-18,인천,B,230,142
2025-07-18,광주,C,452,65
2025-11-04,부산,B,295,105
2025-05-08,부산,D,892,187
2025-02-08,서울,A,765,84
2025-12-04,인천,B,481,152
2025-12-26,광주,C,744,41
2025-05-09,대구,B,326,37
2025-09-24,부산,B,800,31
2025-05-31,부산,B,575,26
2025-10-25,대구,C,576,68
2025-04-09,광주,D,364,99
2025-09-20,광주,B,471,115
2025-09-09,인천,B,585,194
2025-05-24,인천,A,533,35
2025-12-12,서울,C,745,34
2025-04-22,부산,B,310,147
2025-03-01,인천,C,671,54
2025-01-02,광주,B,476,92
2025-10-31,대구,D,494,20
2025-09-11,광주,D,549,190
2025-05-20,부산,B,463,113
2025-02-06,광주,D,975,77
2025-06-09,서울,B,556,104
2025-01-09,부산,D,824,165
2025-08-21,대구,A,827,74
2025-04-09,서울,A,325,58
2025-05-27,부산,A,230,184
2025-10-31,대구,C,687,61
2025-07-27,서울,C,575,111
2025-05-11,서울,A,897,191
2025-06-01,부산,C,376,197
2025-02-23,인천,D,255,66
2025-04-30,서울,B,859,56
2025-06-10,서울,B,317,168
2025-04-26,대구,B,289,183
2025-03-16,광주,A,516,35
2025-04-23,부산,C,774,123
2025-04-14,부산,D,791,14
2025-12-06,인천,D,645,93
2025-09-11,인천,A,140,61
2025-08-15,부산,D,406,114
2025-04-22,인천,D,437,63
2025-04-09,대구,D,413,170
2025-06-02,부산,D,174,187
2025-12-15,인천,C,378,175
2025-12-04,부산,D,275,164
2025-07-13,광주,B,995,24
2025-11-06,서울,A,761,70
2025-06-12,부산,C,372,131
2025-07-27,서울,D,936,30
2025-06-18,인천,C,719,55
2025-06-10,서울,D,750,143
2025-03-09,부산,B,961,47
2025-10-16,광주,A,882,71
2025-10-04,인천,D,958,95
2025-10-31,부산,D,388,199
2025-05-15,인천,D,823,87
2025-07-14,대구,D,992,55
2025-05-08,서울,A,371,150
2025-02-02,대구,A,165,12
2025-06-25,부산,B,582,15
2025-01-22,광주,A,347,102
2025-08-26,인천,D,255,17
2025-06-07,서울,B,146,181
2025-02-07,인천,B,553,117
2025-08-18,부산,B,300,170
2025-12-31,인천,D,759,84
2025-02-20,서울,C,223,86
2025-09-21,부산,D,100,59
2025-10-10,인천,A,858,20
2025-01-27,광주,A,954,104
2025-08-14,부산,D,739,165
2025-10-04,부산,D,290,79
2025-10-13,광주,B,678,178
2025-04-07,대구,D,615,25
2025-10-11,서울,B,541,77
2025-11-13,대구,A,914,108
2025-10-31,인천,B,905,57
2025-05-27,광주,D,242,193
2025-01-04,대구,A,290,73
2025-02-04,부산,C,632,196
2025-07-11,인천,B,326,99
2025-02-18,인천,A,412,199
2025-01-17,대구,B,728,85
2025-06-21,대구,A,401,148
2025-08-08,광주,A,753,110
2025-06-07,서울,B,559,98
2025-02-15,대구,C,500,27
2025-01-06,대구,A,650,28
2025-04-09,부산,A,492,64
2025-08-21,인천,A,966,111
2025-02-06,서울,C,863,127
2025-10-07,부산,C,944,163
2025-12-15,광주,D,306,143
2025-10-29,광주,B,309,13
2025-06-30,대구,C,214,117
2025-04-05,대구,B,836,124
2025-04-09,광주,D,745,38
2025-07-07,대구,B,350,68
2025-04-26,서울,C,318,134
2025-07-10,대구,B,506,107
2025-09-10,인천,C,542,26
2025-06-10,대구,B,702,116
2025-09-13,부산,C,453,52
2025-11-19,서울,C,987,89
2025-05-08,부산,B,657,171
2025-01-18,부산,D,649,17
2025-10-08,인천,A,241,150
2025-08-11,서울,D,711,115
2025-02-23,서울,B,600,17
2025-02-27,서울,D,939,105
2025-11-19,서울,C,801,103
2025-12-26,서울,A,646,74
2025-06-23,인천,B,758,180
2025-10-07,대구,B,641,48
2025-04-24,부산,B,945,90
2025-10-15,서울,A,606,196
2025-12-08,대구,C,695,93
2025-05-31,대구,B,980,97
2025-05-07,부산,D,380,95
2025-06-04,인천,B,523,102
2025-09-30,광주,B,955,95
2025-04-14,광주,B,369,53
2025-10-26,대구,B,253,146
2025-09-03,부산,C,713,174
2025-06-25,광주,D,826,83
2025-02-08,대구,C,761,45
2025-06-19,인천,D,182,110
2025-09-04,광주,B,721,165
2025-01-26,대구,A,998,179
2025-12-21,대구,C,525,180
2025-11-02,서울,A,374,179
2025-01-13,인천,C,812,113
2025-11-12,서울,B,383,75
2025-11-09,부산,C,272,64
2025-02-05,서울,B,426,185
2025-06-22,서울,C,817,100
2025-01-20,광주,B,162,31
2025-11-17,대구,B,172,110
2025-09-21,인천,D,862,164
2025-05-22,서울,B,735,130
2025-05-23,인천,D,474,102
2025-04-02,서울,B,732,117
2025-12-20,부산,A,607,150
2025-11-18,서울,B,886,182
2025-10-15,광주,A,497,19
2025-08-03,대구,A,219,18
2025-12-08,부산,B,536,191
2025-02-20,서울,A,928,164
2025-06-02,인천,D,775,43
2025-07-05,부산,C,564,138
2025-03-04,부산,B,385,169
2025-07-09,서울,A,364,98
2025-05-05,부산,B,419,102
2025-05-30,인천,D,772,80
2025-11-10,부산,B,475,76
2025-02-27,인천,B,919,157
2025-12-08,서울,A,188,126
2025-11-01,대구,D,753,103
2025-06-29,부산,C,302,172
2025-06-19,대구,C,920,108
2025-11-22,인천,A,838,122
2025-09-28,부산,B,433,112
2025-02-23,광주,A,321,100
2025-04-11,대구,A,140,99
2025-09-21,부산,A,807,26
2025-02-22,대구,B,167,27
2025-03-01,부산,D,875,182
2025-04-18,서울,A,613,125
2025-01-05,대구,B,972,102
2025-04-13,광주,D,736,190
2025-07-15,광주,A,721,100
2025-09-19,인천,C,697,91
2025-12-31,부산,D,731,77
2025-12-16,대구,A,226,123
2025-02-16,인천,D,354,10
2025-12-21,대구,D,794,67
2025-11-07,부산,D,115,163
2025-11-04,광주,D,576,118
2025-05-24,서울,D,161,157
2025-09-26,광주,D,980,125
2025-05-04,인천,A,531,96
2025-04-16,서울,C,769,19
2025-06-07,인천,B,367,68
2025-05-27,부산,D,134,50
2025-05-25,서울,B,878,114
2025-04-30,인천,A,675,142
2025-11-15,부산,D,593,131
2025-10-02,광주,C,661,154
2025-04-02,부산,B,568,31
2025-02-27,대구,D,866,107
2025-12-12,부산,A,760,178
2025-08-17,부산,C,424,77
2025-04-27,대구,B,403,148
2025-11-14,인천,B,375,65
2025-10-06,인천,D,968,188
2025-05-07,부산,C,783,158
2025-05-09,대구,C,300,108
2025-02-27,대구,C,544,85
2025-05-02,광주,C,423,35
2025-01-01,인천,A,134,124
2025-08-27,서울,C,581,156
2025-10-17,인천,B,827,118
2025-04-06,인천,B,579,197
2025-05-06,광주,A,164,56
2025-04-28,서울,B,107,80
2025-02-17,광주,B,400,163
2025-03-30,서울,C,442,49
2025-08-25,부산,B,530,142
2025-09-29,서울,A,523,158
2025-07-08,광주,C,431,141
2025-07-11,인천,D,537,32
2025-03-10,서울,C,687,115
2025-10-05,서울,A,273,93
2025-12-15,대구,C,658,152
2025-09-04,인천,C,626,125
2025-03-17,부산,A,972,118
2025-06-03,광주,C,758,145
2025-05-24,부산,A,125,50
2025-03-27,인천,A,919,121
2025-07-04,서울,D,704,156
2025-10-12,서울,B,505,121
2025-08-08,인천,B,331,112
2025-03-10,서울,C,632,55
2025-02-16,서울,C,918,165
2025-04-04,서울,D,649,77
2025-08-26,광주,D,887,131
2025-07-23,광주,D,604,24
2025-08-06,대구,A,768,174
2025-12-07,부산,D,278,138
2025-02-08,인천,D,231,120
2025-04-10,인천,C,922,33
2025-10-16,인천,D,554,36
2025-09-11,대구,A,447,49
2025-08-10,광주,A,639,198
2025-12-23,대구,C,871,173
2025-01-23,인천,D,505,33
2025-09-07,부산,D,175,33
2025-01-10,서울,A,678,13
2025-09-03,광주,D,953,76
2025-11-21,광주,D,591,43
2025-04-10,대구,D,293,194
2025-10-17,광주,B,261,186
2025-06-29,인천,C,446,190
2025-08-11,인천,B,460,125
2025-09-07,대구,C,868,32
2025-05-27,인천,A,683,118
2025-04-06,부산,D,186,78
2025-09-14,대구,C,361,104
2025-11-21,부산,B,313,190
2025-01-04,서울,D,764,71
2025-01-16,부산,A,821,178
2025-10-07,서울,C,672,66
2025-12-02,서울,C,879,197
2025-09-04,부산,C,361,63
2025-09-15,대구,D,829,79
2025-06-09,인천,B,382,110
2025-12-06,인천,B,747,66
2025-06-01,서울,C,566,147
2025-06-27,서울,A,479,177
2025-06-12,대구,A,461,144
2025-02-02,광주,B,548,112
2025-06-28,부산,A,540,175
2025-04-11,서울,B,192,94
2025-09-25,인천,C,720,70
2025-11-19,대구,B,852,12
2025-03-06,부산,B,966,137
2025-06-17,대구,C,523,188
2025-11-26,부산,A,241,95
2025-02-12,부산,B,390,56
2025-02-13,서울,B,531,85
2025-10-12,대구,C,848,47
2025-01-12,대구,A,951,173
2025-04-05,인천,B,923,178
2025-10-29,인천,C,788,150
2025-09-10,서울,B,752,96
2025-08-30,서울,D,800,67
2025-02-04,광주,C,148,59
2025-08-03,인천,A,401,39
2025-12-03,부산,A,980,199
2025-03-31,대구,A,289,110
2025-09-21,서울,A,235,34
2025-04-03,대구,B,654,121
2025-03-31,대구,B,503,164
2025-04-25,광주,A,991,188
2025-04-15,인천,A,964,194
2025-07-15,서울,A,701,135
2025-11-10,대구,B,906,132
2025-04-24,서울,A,440,56
2025-03-16,부산,A,856,127
2025-08-05,광주,D,803,48
2025-10-04,부산,D,417,25
2025-09-06,서울,A,717,31
2025-06-13,서울,C,462,63
2025-12-23,인천,A,921,158
2025-07-11,대구,D,481,25
2025-08-15,대구,C,332,68
2025-06-26,부산,C,876,40
2025-04-09,광주,A,443,179
2025-02-05,대구,D,648,41
2025-04-06,인천,D,916,196
2025-06-01,부산,C,652,171
2025-05-31,부산,A,628,18
2025-07-09,인천,B,955,148
2025-08-12,광주,B,888,19
2025-02-06,인천,D,918,26
2025-09-25,광주,B,670,77
2025-07-02,인천,D,282,57
2025-01-13,인천,D,140,189
2025-10-06,서울,D,650,120
2025-08-05,부산,B,496,162
2025-12-21,인천,D,803,132
2025-12-27,인천,C,878,158
2025-10-13,대구,A,593,110
2025-09-30,부산,A,758,111
2025-03-03,대구,D,432,74
2025-03-25,부산,A,226,60
2025-08-05,대구,B,657,45
2025-12-08,인천,B,656,90
2025-07-06,인천,A,100,136
2025-01-19,서울,B,267,97
2025-06-26,대구,A,719,113
2025-04-10,광주,A,118,24
2025-08-21,서울,A,431,105
2025-03-17,대구,D,683,176
2025-09-22,대구,A,555,132
2025-10-11,서울,D,208,10
2025-07-25,인천,A,367,160
2025-08-11,대구,A,544,131
2025-02-21,인천,A,339,176
2025-12-05,서울,B,400,135
2025-05-24,인천,D,701,66
2025-03-10,부산,D,202,90
2025-04-09,광주,A,349,171
2025-01-25,대구,A,552,178
2025-02-22,광주,B,619,82
2025-05-31,인천,B,252,150
2025-05-24,대구,B,958,79
2025-02-26,인천,D,273,15
2025-02-08,부산,D,442,93
2025-04-19,서울,D,769,61
2025-06-30,대구,A,530,12
2025-02-11,부산,D,826,90
2025-07-05,부산,C,788,72
2025-08-11,대구,C,786,58
2025-05-02,인천,B,951,85
2025-05-13,부산,D,949,121
2025-06-12,광주,C,757,184
2025-08-03,부산,B,423,118
2025-08-09,인천,D,772,192
2025-08-23,인천,A,738,74
2025-11-27,광주,C,519,90
2025-05-26,부산,A,693,24
2025-08-27,인천,D,584,109
2025-03-17,대구,C,758,41
2025-01-09,서울,D,850,105
2025-03-15,서울,A,511,137
2025-09-10,서울,C,183,155
2025-08-18,부산,A,212,122
2025-01-07,광주,D,836,92
2025-06-23,인천,D,431,52
2025-05-21,대구,A,477,125
2025-06-17,대구,C,854,172
2025-06-19,부산,A,754,87
2025-10-10,서울,D,140,67
2025-05-02,부산,A,869,42
2025-07-13,광주,D,896,23
2025-01-05,광주,A,204,171
2025-01-29,인천,C,301,198
2025-06-14,인천,C,549,141
2025-12-05,광주,A,918,68
2025-05-16,광주,A,942,166
2025-12-31,광주,C,365,92
2025-11-17,부산,D,309,143
2025-12-08,광주,C,662,130
2025-05-25,대구,D,217,186
2025-11-23,서울,A,812,177
2025-08-05,광주,A,476,92
2025-10-28,서울,D,650,36
2025-05-12,부산,A,639,89
2025-10-19,서울,D,870,143
2025-03-11,부산,B,183,22
2025-09-09,대구,C,553,73
2025-10-02,부산,B,766,199
2025-12-30,부산,D,728,156
2025-07-01,인천,C,613,89
2025-06-16,광주,D,704,132
2025-04-01,광주,C,777,52
2025-07-21,대구,C,486,98
2025-12-12,대구,C,449,157
2025-01-19,광주,C,395,104
2025-02-08,인천,D,357,181
2025-05-06,광주,C,180,160
2025-06-22,인천,C,367,11
2025-05-21,대구,B,518,129
2025-08-30,서울,A,334,31
2025-08-08,대구,A,932,124
2025-05-06,대구,B,410,66
2025-02-27,부산,B,912,81
2025-05-28,부산,D,456,16
2025-11-13,부산,D,312,193
2025-12-27,부산,D,673,128
2025-01-01,인천,B,148,123
2025-12-14,광주,B,226,25
2025-07-09,서울,C,322,92
2025-07-10,대구,D,378,188
2025-11-08,인천,D,507,81
2025-04-27,서울,D,604,133
2025-05-14,인천,A,393,122
2025-02-27,인천,C,895,21
2025-02-13,대구,D,376,135
2025-06-22,광주,D,537,62
2025-06-09,부산,D,206,84
2025-06-22,광주,A,757,142
2025-11-13,대구,A,519,36
2025-10-30,대구,B,710,149
2025-05-29,대구,C,528,154
2025-03-21,서울,B,474,143
2025-08-01,광주,C,172,106
2025-07-22,광주,A,733,14
2025-09-09,인천,D,129,66
2025-08-17,인천,B,287,165
2025-06-13,인천,D,463,87
2025-08-15,대구,B,965,78
2025-05-27,광주,A,899,127
2025-01-20,대구,A,550,129
2025-02-16,서울,A,294,68
2025-08-21,인천,B,255,42
2025-11-01,대구,C,271,71
2025-01-14,대구,B,946,59
2025-05-23,서울,C,140,121
2025-01-01,부산,B,162,28
2025-02-23,광주,B,122,132
2025-09-16,부산,A,459,56
2025-05-24,인천,D,174,176
2025-01-12,대구,D,659,42
2025-11-26,서울,C,771,150
2025-08-12,서울,D,924,93
2025-09-29,광주,B,217,191
2025-12-24,부산,B,711,144
2025-06-05,광주,A,479,88
2025-01-08,대구,A,778,23
2025-05-02,광주,D,389,156
2025-12-14,서울,C,539,137
2025-06-13,서울,D,767,63
2025-03-31,인천,D,106,157
2025-05-16,인천,D,295,38
2025-07-05,대구,D,520,33
2025-11-12,부산,B,667,91
2025-06-27,광주,C,932,72
2025-01-28,대구,B,292,114
2025-08-08,인천,C,658,66
2025-12-23,광주,A,247,145
2025-02-10,인천,D,886,71
2025-08-16,광주,B,768,166
2025-07-11,부산,C,301,26
2025-05-25,대구,A,543,75
2025-07-20,광주,A,518,15
2025-07-31,서울,D,526,67
2025-08-08,서울,C,578,78
2025-08-28,광주,B,574,165
2025-02-15,광주,D,225,71
2025-02-04,광주,B,494,178
2025-09-10,서울,A,916,91
2025-03-23,서울,B,980,178
2025-09-13,광주,B,905,186
2025-07-16,인천,D,675,186
2025-10-30,인천,B,424,80
2025-01-10,부산,D,491,140
2025-11-08,대구,A,787,19
2025-10-13,인천,D,727,107
2025-08-30,서울,D,539,98
2025-09-08,인천,C,303,44
2025-12-31,부산,B,585,11
2025-01-05,부산,A,932,133
2025-04-29,대구,D,130,33
2025-10-16,인천,A,487,83
2025-03-06,서울,C,724,175
2025-05-26,서울,B,976,31
2025-08-12,광주,D,533,163
2025-08-27,서울,B,936,180
2025-06-26,대구,C,475,192
2025-09-24,대구,C,443,48
2025-12-07,서울,A,542,166
2025-10-09,서울,D,678,29
2025-03-04,광주,A,174,50
2025-08-05,서울,C,656,191
2025-12-08,광주,B,871,157
2025-11-11,광주,A,765,117
2025-10-10,서울,A,254,156
2025-06-26,부산,B,529,93
2025-04-08,부산,A,462,120
2025-04-15,광주,B,547,75
2025-04-09,서울,D,333,167
2025-11-07,부산,B,662,62
2025-01-06,서울,D,917,43
2025-07-16,서울,B,361,159
2025-12-17,서울,C,926,76
2025-05-13,인천,C,224,143
2025-12-24,서울,D,344,36
2025-09-16,인천,D,641,19
2025-01-23,광주,C,584,82
2025-02-22,부산,D,221,105
2025-06-14,부산,B,224,57
2025-07-21,부산,B,648,79
2025-03-24,부산,C,269,196
2025-05-25,부산,A,223,109
2025-03-26,부산,B,968,68
2025-03-19,부산,D,134,11
2025-01-01,광주,A,186,166
2025-02-20,서울,A,745,74
2025-06-22,대구,B,807,92
2025-07-24,인천,B,885,163
2025-09-17,대구,A,300,19
2025-10-15,대구,A,468,62
2025-02-03,서울,C,896,88
2025-12-14,서울,D,176,68
2025-04-05,서울,C,158,159
2025-03-13,부산,B,530,188
2025-02-08,광주,C,737,57
2025-06-03,부산,C,599,158
2025-09-07,광주,C,208,132
2025-06-11,광주,C,835,31
2025-04-28,대구,D,377,109
2025-09-16,대구,D,167,107
2025-11-02,광주,A,168,167
2025-09-25,광주,B,264,34
2025-02-23,부산,C,588,37
2025-08-24,부산,A,404,122
2025-08-10,대구,A,773,54
2025-09-08,서울,A,464,77
2025-11-09,광주,D,953,16
2025-04-22,부산,C,920,58
2025-09-12,대구,C,478,146
2025-10-30,부산,B,442,173
2025-07-26,광주,C,998,92
2025-08-17,광주,C,653,138
2025-12-07,인천,A,453,147
2025-03-07,서울,B,515,173
2025-03-16,인천,C,208,82
2025-04-13,대구,D,662,55
2025-07-11,부산,C,861,115
2025-09-09,대구,A,596,169
2025-08-14,광주,D,440,41
2025-10-21,인천,A,482,15
2025-11-02,인천,C,632,185
2025-04-08,인천,D,399,175
2025-12-04,대구,B,238,154
2025-10-13,광주,B,458,83
2025-12-01,부산,D,935,123
2025-12-13,부산,D,598,36
2025-11-04,대구,A,484,63
2025-09-06,인천,D,703,187
2025-06-15,서울,A,379,172
2025-12-01,대구,C,736,94
2025-01-30,대구,A,582,136
2025-09-04,광주,D,210,162
2025-04-16,부산,D,965,165
2025-02-20,대구,C,238,120
2025-03-22,대구,D,534,24
2025-05-13,인천,D,608,141
2025-10-12,인천,B,372,102
2025-05-18,서울,B,198,132
2025-07-03,광주,C,863,82
2025-11-26,서울,A,949,164
2025-09-30,인천,B,203,163
2025-12-06,부산,A,313,156
2025-03-10,인천,D,860,101
2025-02-03,광주,B,763,26
2025-09-19,인천,C,861,52
2025-02-22,광주,C,886,130
2025-07-24,광주,C,264,50
2025-05-06,광주,B,952,179
2025-08-23,광주,A,619,187
2025-02-12,광주,D,383,177
2025-08-28,부산,A,616,48
2025-04-21,서울,A,756,122
2025-09-06,대구,D,712,160
2025-05-31,서울,D,263,120
2025-07-02,광주,B,985,189
2025-12-02,부산,B,758,56
2025-04-05,인천,B,163,72
2025-01-08,부산,B,190,119
2025-12-26,광주,B,216,78
2025-07-03,부산,D,965,52
2025-10-08,부산,A,366,185
2025-07-14,광주,B,921,43
2025-12-18,부산,B,784,49
2025-07-14,대구,A,658,70
2025-06-04,대구,B,239,187
2025-04-03,부산,A,345,71
2025-06-09,인천,A,760,67
2025-03-02,광주,D,857,170
2025-05-02,대구,C,494,84
2025-02-20,인천,D,586,25
2025-10-04,부산,C,575,91
2025-01-05,인천,C,616,103
2025-04-02,서울,C,283,57
2025-06-19,대구,B,119,147
2025-11-13,부산,D,657,91
2025-01-22,광주,C,623,47
2025-11-22,부산,A,681,136
2025-01-01,광주,B,628,28
2025-05-13,부산,D,982,173
2025-08-21,인천,C,246,196
2025-01-12,인천,A,765,72
2025-12-12,인천,D,403,86
2025-02-15,서울,D,719,183
2025-02-03,광주,B,847,140
2025-03-19,인천,D,919,111
2025-08-06,서울,B,963,74
2025-10-28,광주,C,681,129
2025-03-14,부산,B,794,100
2025-10-09,서울,A,861,17
2025-09-06,대구,B,327,188
2025-02-16,서울,A,201,82
2025-05-01,서울,B,686,143
2025-08-02,광주,D,516,116
2025-08-27,부산,C,315,98
2025-02-25,대구,A,506,48
2025-12-16,인천,B,498,122
2025-04-17,인천,B,814,197
2025-11-15,서울,B,803,37
2025-02-17,광주,D,860,106
2025-03-02,광주,D,598,191
2025-12-03,인천,A,853,46
2025-01-26,대구,A,564,146
